Hour,InfectedMost,SpreadMost,NotDead,Dead,Infected,Quarantined
77,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
78,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
79,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
80,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
81,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
82,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
83,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
84,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
85,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
86,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
87,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
88,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
89,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
90,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
91,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
92,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
93,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
94,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
95,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
96,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
97,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
98,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
99,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
100,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
101,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
102,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
103,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
104,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
105,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
106,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
107,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
108,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
109,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
